"No.","Time","Source","Destination","Protocol","Length","Info"
"154","25.929983891","27.113.212.98","45.33.32.156","TCP","58","51854  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"155","25.930004732","123.34.139.79","45.33.32.156","TCP","58","51854  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"156","25.930105306","86.254.71.220","45.33.32.156","TCP","58","51854  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"157","25.930128759","10.0.2.4","45.33.32.156","TCP","58","51854  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"158","25.930150736","27.113.212.98","45.33.32.156","TCP","58","51854  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"159","25.930347177","123.34.139.79","45.33.32.156","TCP","58","51854  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"160","25.930377713","86.254.71.220","45.33.32.156","TCP","58","51853  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"161","25.930477262","10.0.2.4","45.33.32.156","TCP","58","51853  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"162","25.930500292","27.113.212.98","45.33.32.156","TCP","58","51853  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"163","25.930523203","123.34.139.79","45.33.32.156","TCP","58","51853  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"164","25.930741856","86.254.71.220","45.33.32.156","TCP","58","51853  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"165","25.930766173","10.0.2.4","45.33.32.156","TCP","58","51853  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"166","25.930864200","27.113.212.98","45.33.32.156","TCP","58","51853  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"167","25.930887547","123.34.139.79","45.33.32.156","TCP","58","51853  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"168","25.930988113","86.254.71.220","45.33.32.156","TCP","58","51853  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
